"last_season","oppid","opponent","winp_total","w_total","l_total","winp_home","w_home","l_home","winp_away","w_away","l_away","tp_avg","fg_avg","fg3_avg","ft_avg","oreb_avg","dreb_avg","ast_avg","blk_avg","stl_avg"
2017,173,"Appalachian State",100.0,1,0,100.0,1,0,"",0,0,93.0,32.0,8.0,21.0,12.0,28.0,14.0,5.0,7.0
2017,26,"Clemson",100.0,2,0,100.0,1,0,100.0,1,0,71.5,25.5,8.0,12.5,6.5,25.5,11.5,3.5,4.0
2017,44,"Georgia Tech",100.0,1,0,100.0,1,0,"",0,0,110.0,39.0,16.0,16.0,17.0,30.0,24.0,3.0,6.0
2017,841,"Grand Canyon",100.0,1,0,100.0,1,0,"",0,0,96.0,32.0,11.0,21.0,9.0,29.0,20.0,8.0,14.0
2017,190,"Kansas",0.0,0,1,"",0,0,0.0,0,1,75.0,23.0,8.0,21.0,3.0,19.0,12.0,5.0,3.0
2017,137,"Louisville",50.0,1,1,"",0,0,50.0,1,1,75.0,24.0,6.0,21.0,7.0,24.0,8.5,4.0,4.0
2017,297,"Maine",100.0,1,0,100.0,1,0,"",0,0,94.0,33.0,6.0,22.0,12.0,34.0,14.0,8.0,6.0
2017,883,"Marist",100.0,1,0,100.0,1,0,"",0,0,94.0,30.0,8.0,26.0,16.0,39.0,13.0,7.0,9.0
2017,77,"North Carolina",66.67,2,1,100.0,1,0,50.0,1,1,87.33,26.33,10.0,24.67,6.0,22.33,11.33,6.0,6.0
2017,80,"Penn State",100.0,1,0,"",0,0,100.0,1,0,78.0,27.0,9.0,15.0,9.0,26.0,12.0,4.0,3.0
2017,150,"Rhode Island",100.0,1,0,"",0,0,100.0,1,0,75.0,27.0,6.0,15.0,9.0,24.0,9.0,0.0,3.0
2017,97,"South Carolina",0.0,0,1,"",0,0,0.0,0,1,81.0,22.0,10.0,27.0,8.0,23.0,11.0,7.0,6.0
2017,144,"Syracuse",0.0,0,1,"",0,0,0.0,0,1,75.0,25.0,10.0,15.0,15.0,20.0,16.0,4.0,6.0
2017,301,"Tennessee State",100.0,1,0,100.0,1,0,"",0,0,65.0,19.0,8.0,19.0,13.0,27.0,12.0,3.0,7.0
2017,628,"Troy",100.0,1,0,"",0,0,100.0,1,0,87.0,29.0,13.0,16.0,13.0,20.0,15.0,8.0,13.0
2017,170,"UNLV",100.0,1,0,"",0,0,100.0,1,0,94.0,37.0,10.0,10.0,7.0,30.0,18.0,4.0,10.0
2017,115,"Virginia Tech",0.0,0,1,"",0,0,0.0,0,1,75.0,28.0,5.0,14.0,18.0,23.0,8.0,5.0,5.0
2017,121,"William & Mary",100.0,1,0,100.0,1,0,"",0,0,88.0,30.0,9.0,19.0,11.0,28.0,18.0,5.0,4.0
2018,194,"Boston College",50.0,1,1,100.0,1,0,0.0,0,1,88.5,31.5,8.0,17.5,8.0,21.0,16.5,3.5,11.5
2018,35,"Elon",100.0,2,0,100.0,1,0,100.0,1,0,84.5,32.0,8.5,12.0,13.0,28.0,14.0,5.5,8.5
2018,499,"Evansville",100.0,1,0,100.0,1,0,"",0,0,104.0,39.0,16.0,10.0,7.0,26.0,32.0,9.0,13.0
2018,37,"Florida",100.0,2,0,"",0,0,100.0,2,0,85.5,30.5,8.5,16.0,8.0,25.5,18.0,5.0,7.5
2018,38,"Florida State",66.67,2,1,100.0,2,0,0.0,0,1,82.33,29.67,7.33,15.67,14.67,23.33,12.0,4.33,5.33
2018,40,"Furman",100.0,1,0,100.0,1,0,"",0,0,92.0,39.0,5.0,9.0,14.0,24.0,18.0,8.0,9.0
2018,196,"Indiana",100.0,1,0,"",0,0,100.0,1,0,91.0,33.0,3.0,22.0,9.0,21.0,15.0,3.0,7.0
2018,130,"Miami",66.67,2,1,100.0,1,0,50.0,1,1,67.67,25.33,7.0,10.0,9.0,28.33,12.0,4.0,7.67
2018,138,"Michigan State",100.0,2,0,100.0,1,0,100.0,1,0,83.0,30.0,8.0,15.0,15.0,21.5,17.5,4.0,10.0
2018,70,"N.C. State",0.0,0,2,0.0,0,1,0.0,0,1,83.5,30.5,5.5,17.0,9.5,23.0,13.0,4.5,7.0
2018,143,"Notre Dame",100.0,3,0,100.0,1,0,100.0,2,0,82.33,30.33,7.33,14.33,9.33,26.33,12.33,4.67,4.67
2018,82,"Pittsburgh",100.0,3,0,100.0,2,0,100.0,1,0,80.0,29.33,11.67,9.67,12.0,20.0,18.67,6.0,7.33
2018,205,"Portland State",100.0,1,0,"",0,0,100.0,1,0,99.0,32.0,4.0,31.0,14.0,31.0,19.0,9.0,2.0
2018,956,"Saint Francis (Pa.)",100.0,1,0,100.0,1,0,"",0,0,124.0,48.0,15.0,13.0,16.0,44.0,34.0,4.0,3.0
2018,424,"South Dakota",100.0,1,0,100.0,1,0,"",0,0,96.0,35.0,7.0,19.0,15.0,32.0,17.0,6.0,4.0
2018,437,"Southern",100.0,1,0,100.0,1,0,"",0,0,78.0,25.0,4.0,24.0,15.0,32.0,14.0,10.0,3.0
2018,197,"Texas",100.0,1,0,"",0,0,100.0,1,0,85.0,30.0,3.0,22.0,14.0,32.0,21.0,3.0,8.0
2018,1031,"Utah Valley",100.0,1,0,100.0,1,0,"",0,0,99.0,39.0,10.0,11.0,13.0,27.0,26.0,7.0,14.0
2018,113,"Virginia",50.0,1,1,0.0,0,1,100.0,1,0,64.0,23.0,6.5,11.5,7.5,27.5,11.5,3.5,3.0
2018,117,"Wake Forest",100.0,4,0,100.0,2,0,100.0,2,0,89.25,28.25,11.25,21.5,9.25,23.5,16.75,3.5,6.0
