"last_season","oppid","opponent","winp_total","w_total","l_total","winp_home","w_home","l_home","winp_away","w_away","l_away","tp_avg","fg_avg","fg3_avg","ft_avg","oreb_avg","dreb_avg","ast_avg","blk_avg","stl_avg"
2017,173,"Appalachian State",100.0,1,0,100.0,1,0,"",0,0,58.0,18.0,9.0,13.0,9.0,17.0,12.0,0.0,2.0
2017,26,"Clemson",100.0,2,0,100.0,1,0,100.0,1,0,67.0,22.0,3.0,20.0,8.5,25.5,7.5,2.0,6.0
2017,44,"Georgia Tech",100.0,1,0,100.0,1,0,"",0,0,57.0,22.0,2.0,11.0,12.0,17.0,10.0,1.0,3.0
2017,841,"Grand Canyon",100.0,1,0,100.0,1,0,"",0,0,61.0,26.0,3.0,6.0,8.0,19.0,11.0,2.0,7.0
2017,190,"Kansas",0.0,0,1,"",0,0,0.0,0,1,77.0,33.0,2.0,9.0,12.0,22.0,13.0,4.0,6.0
2017,137,"Louisville",50.0,1,1,"",0,0,50.0,1,1,77.5,28.5,5.5,15.0,8.5,24.5,15.5,4.0,5.0
2017,297,"Maine",100.0,1,0,100.0,1,0,"",0,0,55.0,21.0,9.0,4.0,10.0,9.0,12.0,0.0,5.0
2017,883,"Marist",100.0,1,0,100.0,1,0,"",0,0,49.0,15.0,3.0,16.0,5.0,23.0,8.0,0.0,5.0
2017,77,"North Carolina",66.67,2,1,100.0,1,0,50.0,1,1,83.67,32.67,5.0,13.33,11.67,22.0,18.33,2.0,4.67
2017,80,"Penn State",100.0,1,0,"",0,0,100.0,1,0,68.0,28.0,6.0,6.0,9.0,24.0,12.0,3.0,3.0
2017,150,"Rhode Island",100.0,1,0,"",0,0,100.0,1,0,65.0,25.0,3.0,12.0,10.0,22.0,10.0,7.0,3.0
2017,97,"South Carolina",0.0,0,1,"",0,0,0.0,0,1,88.0,27.0,7.0,27.0,12.0,21.0,16.0,2.0,8.0
2017,144,"Syracuse",0.0,0,1,"",0,0,0.0,0,1,78.0,25.0,6.0,22.0,3.0,22.0,10.0,1.0,3.0
2017,301,"Tennessee State",100.0,1,0,100.0,1,0,"",0,0,55.0,22.0,2.0,9.0,4.0,25.0,7.0,1.0,4.0
2017,628,"Troy",100.0,1,0,"",0,0,100.0,1,0,65.0,24.0,5.0,12.0,11.0,21.0,10.0,2.0,1.0
2017,170,"UNLV",100.0,1,0,"",0,0,100.0,1,0,45.0,16.0,6.0,7.0,8.0,17.0,6.0,1.0,7.0
2017,115,"Virginia Tech",0.0,0,1,"",0,0,0.0,0,1,89.0,32.0,8.0,17.0,6.0,25.0,18.0,4.0,3.0
2017,121,"William & Mary",100.0,1,0,100.0,1,0,"",0,0,67.0,23.0,7.0,14.0,3.0,20.0,17.0,3.0,4.0
2018,194,"Boston College",50.0,1,1,100.0,1,0,0.0,0,1,85.5,31.5,9.0,13.5,8.0,24.5,15.0,1.0,5.0
2018,35,"Elon",100.0,2,0,100.0,1,0,100.0,1,0,64.5,24.5,11.0,4.5,6.0,27.0,12.0,2.0,2.5
2018,499,"Evansville",100.0,1,0,100.0,1,0,"",0,0,40.0,15.0,5.0,5.0,2.0,15.0,11.0,2.0,1.0
2018,37,"Florida",100.0,2,0,"",0,0,100.0,2,0,79.0,28.0,7.0,16.0,11.0,20.0,10.5,5.0,6.5
2018,38,"Florida State",66.67,2,1,100.0,2,0,0.0,0,1,83.67,31.0,8.33,13.33,12.33,21.67,15.0,3.0,4.33
2018,40,"Furman",100.0,1,0,100.0,1,0,"",0,0,63.0,25.0,9.0,4.0,12.0,13.0,14.0,0.0,7.0
2018,196,"Indiana",100.0,1,0,"",0,0,100.0,1,0,81.0,30.0,5.0,16.0,11.0,17.0,12.0,4.0,4.0
2018,130,"Miami",66.67,2,1,100.0,1,0,50.0,1,1,62.67,24.33,5.67,8.33,10.33,24.67,9.33,3.33,9.33
2018,138,"Michigan State",100.0,2,0,100.0,1,0,100.0,1,0,75.0,29.0,7.0,10.0,8.0,26.0,20.5,6.5,2.0
2018,70,"N.C. State",0.0,0,2,0.0,0,1,0.0,0,1,90.0,31.5,5.5,21.5,9.0,22.5,13.0,2.0,6.0
2018,143,"Notre Dame",100.0,3,0,100.0,1,0,100.0,2,0,69.67,24.33,6.67,14.33,9.67,16.0,12.33,1.67,7.0
2018,82,"Pittsburgh",100.0,3,0,100.0,2,0,100.0,1,0,56.67,21.0,3.33,11.33,9.0,17.33,8.0,3.33,4.33
2018,205,"Portland State",100.0,1,0,"",0,0,100.0,1,0,81.0,30.0,12.0,9.0,12.0,19.0,21.0,1.0,6.0
2018,956,"Saint Francis (Pa.)",100.0,1,0,100.0,1,0,"",0,0,67.0,24.0,7.0,12.0,4.0,18.0,11.0,0.0,8.0
2018,424,"South Dakota",100.0,1,0,100.0,1,0,"",0,0,80.0,30.0,10.0,10.0,7.0,14.0,18.0,0.0,6.0
2018,437,"Southern",100.0,1,0,100.0,1,0,"",0,0,61.0,22.0,7.0,10.0,13.0,19.0,8.0,4.0,5.0
2018,197,"Texas",100.0,1,0,"",0,0,100.0,1,0,78.0,30.0,4.0,14.0,10.0,23.0,14.0,3.0,4.0
2018,1031,"Utah Valley",100.0,1,0,100.0,1,0,"",0,0,69.0,25.0,6.0,13.0,12.0,21.0,13.0,0.0,5.0
2018,113,"Virginia",50.0,1,1,0.0,0,1,100.0,1,0,60.0,23.5,5.5,7.5,8.5,20.0,10.5,3.0,5.5
2018,117,"Wake Forest",100.0,4,0,100.0,2,0,100.0,2,0,79.5,28.75,6.5,15.5,12.25,20.5,14.25,2.0,3.25
