"season","opponent","tp","fg","fg3","ft","oreb","dreb","ast","blk","stl"
2008,"Eastern Kentucky",78.0,26.0,11.0,15.0,8.0,18.0,17.0,3.0,11.0
2008,"Illinois",79.0,26.0,6.0,21.0,4.0,23.0,11.0,6.0,6.0
2008,"N.C. Central",121.0,39.0,16.0,27.0,16.0,30.0,28.0,9.0,10.0
2008,"New Mexico State",86.0,32.0,9.0,13.0,11.0,23.0,18.0,6.0,11.0
2009,"Binghamton",86.0,28.0,9.0,21.0,15.0,20.0,21.0,3.0,6.0
2009,"Duquesne",95.0,35.0,10.0,15.0,10.0,22.0,21.0,8.0,14.0
2009,"Loyola",92.0,36.0,1.0,19.0,16.0,30.0,20.0,5.0,16.0
2009,"Montana",78.0,29.0,4.0,16.0,17.0,23.0,10.0,3.0,14.0
2009,"Southern Illinois",83.0,18.0,7.0,40.0,7.0,33.0,13.0,5.0,7.0
2009,"Villanova",54.0,16.0,5.0,17.0,7.0,25.0,7.0,2.0,8.0
2009,"Xavier",82.0,31.0,9.0,11.0,9.0,22.0,14.0,7.0,9.0
2010,"Arizona State",64.0,23.0,4.0,14.0,10.0,20.0,13.0,5.0,2.0
2010,"Arkansas-Pine Bluff",73.0,24.0,6.0,19.0,10.0,27.0,12.0,4.0,5.0
2010,"Baylor",78.0,22.0,11.0,23.0,22.0,19.0,15.0,0.0,7.0
2010,"California",68.0,27.0,3.0,11.0,11.0,23.0,11.0,5.0,4.0
2010,"Charlotte",101.0,37.0,12.0,15.0,15.0,30.0,21.0,4.0,7.0
2010,"Coastal Carolina",74.0,24.0,6.0,20.0,12.0,25.0,14.0,5.0,4.0
2010,"Iowa State",86.0,29.0,9.0,19.0,16.0,19.0,14.0,4.0,10.0
2010,"Pennsylvania",114.0,36.0,10.0,32.0,15.0,27.0,24.0,2.0,13.0
2010,"Purdue",73.0,23.0,7.0,20.0,14.5,30.0,11.5,3.5,4.0
2010,"Radford",104.0,35.0,18.0,16.0,13.0,28.0,25.0,4.0,8.0
2010,"Tulsa",70.0,22.0,4.0,21.0,14.0,26.0,9.0,6.0,7.0
2010,"UNC-Greensboro",96.0,37.0,7.0,15.0,15.0,29.0,16.0,8.0,8.0
2010,"West Virginia",72.5,24.0,9.0,15.5,8.0,15.0,13.0,2.0,5.5
2011,"Bradley",83.0,30.0,15.0,8.0,8.0,27.0,22.0,4.0,3.0
2011,"Butler",71.5,24.0,6.5,17.0,9.0,25.0,11.5,4.0,7.0
2011,"Colgate",110.0,34.0,12.0,30.0,18.0,25.0,24.0,7.0,13.0
2011,"Hampton",87.0,32.0,9.0,14.0,9.0,27.0,17.0,4.0,9.0
2011,"Kansas State",82.0,26.0,6.0,24.0,6.0,20.0,13.0,3.0,11.0
2011,"Marquette",79.5,30.5,6.0,12.5,10.0,25.0,16.0,6.0,3.0
2011,"Miami (Ohio)",79.0,25.0,8.0,21.0,11.0,32.0,15.0,3.0,10.0
2011,"Princeton",90.0,35.0,9.5,10.5,13.0,21.5,20.0,4.5,9.5
2011,"St. Louis",84.0,31.0,6.0,16.0,9.0,21.0,18.0,6.0,10.0
