"season","gameid","opponent","tp","fg","fg3","ft","oreb","dreb","ast","blk","stl"
2018,20171209,"Boston College",84.0,32.0,8.0,12.0,12.0,19.0,13.0,3.0,10.0
2018,20171110,"Elon",97.0,41.0,12.0,3.0,15.0,30.0,21.0,3.0,7.0
2018,20171220,"Evansville",104.0,39.0,16.0,10.0,7.0,26.0,32.0,9.0,13.0
2018,20171126,"Florida",87.0,29.0,10.0,19.0,9.0,29.0,20.0,4.0,7.0
2018,20171230,"Florida State",100.0,39.0,8.0,14.0,22.0,29.0,19.0,5.0,6.0
2018,20171120,"Furman",92.0,39.0,5.0,9.0,14.0,24.0,18.0,8.0,9.0
2018,20171129,"Indiana",91.0,33.0,3.0,22.0,9.0,21.0,15.0,3.0,7.0
2018,20180115,"Miami",83.0,31.0,11.0,10.0,6.0,35.0,18.0,5.0,8.0
2018,20171114,"Michigan State",88.0,30.0,9.0,19.0,21.0,21.0,21.0,5.0,12.0
2018,20180106,"N.C. State",85.0,31.0,3.0,20.0,9.0,19.0,10.0,5.0,7.0
2018,20180129,"Notre Dame",88.0,32.0,12.0,12.0,15.0,26.0,15.0,6.0,5.0
2018,20180120,"Pittsburgh",84.0,31.5,12.0,9.0,13.0,22.5,18.5,6.0,9.5
2018,20171123,"Portland State",99.0,32.0,4.0,31.0,14.0,31.0,19.0,9.0,2.0
2018,20171205,"Saint Francis (Pa.)",124.0,48.0,15.0,13.0,16.0,44.0,34.0,4.0,3.0
2018,20171202,"South Dakota",96.0,35.0,7.0,19.0,15.0,32.0,17.0,6.0,4.0
2018,20171117,"Southern",78.0,25.0,4.0,24.0,15.0,32.0,14.0,10.0,3.0
2018,20171124,"Texas",85.0,30.0,3.0,22.0,14.0,32.0,21.0,3.0,8.0
2018,20171111,"Utah Valley",99.0,39.0,10.0,11.0,13.0,27.0,26.0,7.0,14.0
2018,20180127,"Virginia",63.0,27.0,4.0,5.0,10.0,32.0,15.0,5.0,2.0
2018,20180123,"Wake Forest",86.5,24.5,9.0,28.5,9.0,27.5,15.0,3.5,10.5
