"gameid","opponent","tp","fg","fg3","ft","treb","ast","blk","stl","pf"
"20,171,110","Elon",97,41,12,3,45,21,3,7,16
"20,171,111","Utah Valley",99,39,10,11,40,26,7,14,16
"20,171,114","Michigan State",88,30,9,19,42,21,5,12,20
"20,171,117","Southern",78,25,4,24,47,14,10,3,15
"20,171,120","Furman",92,39,5,9,38,18,8,9,9
"20,171,123","Portland State",99,32,4,31,45,19,9,2,16
"20,171,124","Texas",85,30,3,22,46,21,3,8,20
"20,171,126","Florida",87,29,10,19,38,20,4,7,18
"20,171,129","Indiana",91,33,3,22,30,15,3,7,22
"20,171,202","South Dakota",96,35,7,19,47,17,6,4,18
"20,171,205","Saint Francis (Pa.)",124,48,15,13,60,34,4,3,16
"20,171,209","Boston College",84,32,8,12,31,13,3,10,20
"20,171,220","Evansville",104,39,16,10,33,32,9,13,13
"20,171,230","Florida State",100,39,8,14,51,19,5,6,21
"20,180,106","N.C. State",85,31,3,20,28,10,5,7,21
"20,180,110","Pittsburgh",87,34,12,7,38,21,5,11,18
"20,180,113","Wake Forest",89,25,12,27,42,18,5,10,15
"20,180,115","Miami",83,31,11,10,41,18,5,8,10
"20,180,120","Pittsburgh",81,29,12,11,33,16,7,8,14
"20,180,123","Wake Forest",84,24,6,30,31,12,2,11,17
"20,180,127","Virginia",63,27,4,5,42,15,5,2,14
"20,180,129","Notre Dame",88,32,12,12,41,15,6,5,14
