"season","opponent","tp","fg","fg3","ft","oreb","dreb","ast","blk","stl"
2008,"Eastern Kentucky",43.0,16.0,4.0,7.0,4.0,17.0,12.0,2.0,10.0
2008,"Illinois",66.0,21.0,4.0,20.0,19.0,18.0,10.0,4.0,5.0
2008,"N.C. Central",56.0,21.0,6.0,8.0,9.0,12.0,13.0,2.0,10.0
2008,"New Mexico State",61.0,25.0,4.0,7.0,5.0,21.0,12.0,3.0,2.0
2009,"Binghamton",62.0,27.0,7.0,1.0,5.0,13.0,9.0,4.0,9.0
2009,"Duquesne",72.0,27.0,3.0,15.0,18.0,17.0,9.0,2.0,9.0
2009,"Loyola",51.0,19.0,3.0,10.0,14.0,16.0,6.0,1.0,9.0
2009,"Montana",58.0,23.0,6.0,6.0,6.0,20.0,13.0,3.0,4.0
2009,"Southern Illinois",58.0,20.0,6.0,12.0,6.0,16.0,16.0,2.0,4.0
2009,"Villanova",77.0,27.0,4.0,19.0,12.0,34.0,9.0,5.0,5.0
2009,"Xavier",64.0,25.0,6.0,8.0,9.0,18.0,8.0,2.0,4.0
2010,"Arizona State",53.0,18.0,2.0,15.0,8.0,17.0,6.0,1.0,7.0
2010,"Arkansas-Pine Bluff",41.0,17.0,4.0,6.0,8.0,14.0,8.0,4.0,7.0
2010,"Baylor",71.0,27.0,5.0,12.0,16.0,19.0,14.0,8.0,8.0
2010,"California",53.0,19.0,3.0,12.0,8.0,21.0,6.0,1.0,3.0
2010,"Charlotte",59.0,20.0,5.0,14.0,10.0,22.0,6.0,0.0,4.0
2010,"Coastal Carolina",49.0,16.0,6.0,11.0,13.0,17.0,8.0,1.0,5.0
2010,"Iowa State",65.0,26.0,2.0,11.0,10.0,18.0,10.0,8.0,2.0
2010,"Pennsylvania",55.0,21.0,5.0,8.0,12.0,11.0,12.0,0.0,6.0
2010,"Purdue",58.5,21.0,3.0,13.5,5.0,19.0,11.5,5.5,6.5
2010,"Radford",67.0,25.0,5.0,12.0,13.0,20.0,11.0,4.0,4.0
2010,"Tulsa",52.0,19.0,1.0,13.0,9.0,20.0,8.0,7.0,3.0
2010,"UNC-Greensboro",62.0,24.0,3.0,10.0,10.0,10.0,12.0,1.0,5.0
2010,"West Virginia",65.0,22.0,4.5,16.5,13.5,21.0,11.5,4.5,1.0
2011,"Bradley",46.5,19.5,4.0,3.5,8.5,20.0,7.0,2.0,4.5
2011,"Butler",64.5,23.0,7.0,11.5,11.0,20.5,11.0,0.0,7.0
2011,"Colgate",58.0,21.0,4.0,12.0,17.0,21.0,10.0,3.0,8.0
2011,"Kansas State",68.0,27.0,3.0,11.0,11.0,23.0,10.0,3.0,3.0
2011,"Marquette",75.0,28.5,5.5,12.5,9.0,19.5,14.0,2.0,9.0
2011,"Miami (Ohio)",45.0,18.0,6.0,3.0,5.0,22.0,7.0,2.0,7.0
2011,"Princeton",58.5,22.5,6.5,8.5,4.5,19.5,13.0,3.0,5.0
2011,"St. John's",72.25,27.0,3.5,14.75,8.75,18.75,14.25,2.0,6.0
2011,"St. Louis",47.0,19.0,1.0,8.0,4.0,23.0,11.0,2.0,6.0
2011,"UAB",64.0,23.0,9.0,9.0,9.0,27.0,13.0,2.0,3.0
2012,"Belmont",73.0,26.5,7.0,13.0,9.5,22.0,13.5,2.0,8.0
2012,"Colorado State",64.0,24.0,4.0,12.0,11.0,21.0,11.0,1.0,3.0
2012,"Lehigh",75.0,22.0,6.0,25.0,9.0,25.0,12.0,1.0,7.0
