"gameid","opponent","fg","fg3","ft","treb","ast","blk","stl","pf"
"20,171,110","Elon",25,14,4,28,10,1,3,12
"20,171,111","Utah Valley",25,6,13,33,13,0,5,15
"20,171,114","Michigan State",31,9,10,30,25,12,1,21
"20,171,117","Southern",22,7,10,32,8,4,5,27
"20,171,120","Furman",25,9,4,25,14,0,7,15
"20,171,123","Portland State",30,12,9,31,21,1,6,33
"20,171,124","Texas",30,4,14,33,14,3,4,26
"20,171,126","Florida",30,8,16,31,11,2,7,17
"20,171,129","Indiana",30,5,16,28,12,4,4,26
"20,171,202","South Dakota",30,10,10,21,18,0,6,24
"20,171,205","Saint Francis (Pa.)",24,7,12,22,11,0,8,18
"20,171,209","Boston College",31,15,12,31,18,1,3,18
"20,171,220","Evansville",15,5,5,17,11,2,1,14
"20,171,230","Florida State",31,15,16,33,22,2,3,22
"20,180,106","N.C. State",34,5,23,30,17,3,7,19
"20,180,110","Pittsburgh",17,4,14,27,8,5,3,14
"20,180,113","Wake Forest",27,10,7,35,15,4,5,26
"20,180,115","Miami",29,9,8,36,10,2,13,16
"20,180,120","Pittsburgh",20,4,10,23,7,3,6,14
"20,180,123","Wake Forest",27,5,11,35,11,1,1,28
"20,180,127","Virginia",26,6,7,27,12,3,8,18
"20,180,129","Notre Dame",22,7,15,25,13,1,8,12
